DATE,FRAPFCEQDSNAQ
01/01/2000,2.3848E+11
01/04/2000,2.4063E+11
01/07/2000,2.41876E+11
01/10/2000,2.42015E+11
01/01/2001,2.44545E+11
01/04/2001,2.46462E+11
01/07/2001,2.47624E+11
01/10/2001,2.4911E+11
01/01/2002,2.49667E+11
01/04/2002,2.51365E+11
01/07/2002,2.52917E+11
01/10/2002,2.53986E+11
01/01/2003,2.54956E+11
01/04/2003,2.55162E+11
01/07/2003,2.56262E+11
01/10/2003,2.57147E+11
01/01/2004,2.58698E+11
01/04/2004,2.59843E+11
01/07/2004,2.59669E+11
01/10/2004,2.63527E+11
01/01/2005,2.64798E+11
01/04/2005,2.65849E+11
01/07/2005,2.67106E+11
01/10/2005,2.69045E+11
01/01/2006,2.71041E+11
01/04/2006,2.72998E+11
01/07/2006,2.73349E+11
01/10/2006,2.7383E+11
01/01/2007,2.76394E+11
01/04/2007,2.79711E+11
01/07/2007,2.817E+11
01/10/2007,2.82367E+11
01/01/2008,2.813E+11
01/04/2008,2.813E+11
01/07/2008,2.81503E+11
01/10/2008,2.80669E+11
01/01/2009,2.80228E+11
01/04/2009,2.81984E+11
01/07/2009,2.82228E+11
01/10/2009,2.84934E+11
01/01/2010,2.85525E+11
01/04/2010,2.85857E+11
01/07/2010,2.87708E+11
01/10/2010,2.90703E+11
01/01/2011,2.92623E+11
01/04/2011,2.87957E+11
01/07/2011,2.88229E+11
01/10/2011,2.87404E+11
01/01/2012,2.87846E+11
01/04/2012,2.87848E+11
01/07/2012,2.88068E+11
01/10/2012,2.88497E+11
01/01/2013,2.88469E+11
01/04/2013,2.89476E+11
01/07/2013,2.89638E+11
01/10/2013,2.90981E+11
01/01/2014,2.89814E+11
01/04/2014,2.91745E+11
01/07/2014,2.92617E+11
01/10/2014,2.94466E+11
01/01/2015,2.95755E+11
01/04/2015,2.95935E+11
01/07/2015,2.97033E+11
01/10/2015,2.96728E+11
01/01/2016,3.00067E+11
01/04/2016,3.00553E+11
01/07/2016,3.00791E+11
01/10/2016,3.03017E+11
01/01/2017,3.03914E+11
01/04/2017,3.05652E+11
01/07/2017,3.07352E+11
01/10/2017,3.0731E+11
01/01/2018,3.08571E+11
01/04/2018,3.08643E+11
01/07/2018,3.09387E+11
01/10/2018,3.0984E+11
01/01/2019,3.12977E+11
01/04/2019,3.15098E+11
01/07/2019,3.15038E+11
01/10/2019,3.15076E+11
01/01/2020,2.99224E+11
01/04/2020,2.64881E+11
01/07/2020,3.13264E+11
01/10/2020,2.96723E+11
01/01/2021,2.98427E+11
01/04/2021,3.02079E+11
01/07/2021,3.16603E+11
01/10/2021,3.17235E+11
01/01/2022,3.13446E+11
01/04/2022,3.15854E+11
01/07/2022,3.17254E+11
01/10/2022,3.15864E+11
01/01/2023,3.16728E+11
01/04/2023,3.16589E+11
01/07/2023,3.1842E+11